ID,Начало,Длительность,Окончание,Последователи,Предшественники
4,22 Сентябрь 2019 8:00,0д,22 Сентябрь 2019 8:00,1706,1703;1657
5,21 Октябрь 2020 16:00,0д,21 Октябрь 2020 16:00,,3985
6,22 Сентябрь 2021 16:00,0д,22 Сентябрь 2021 16:00,2599,7597;1809
7,20 Октябрь 2021 16:00,0д,20 Октябрь 2021 16:00,2044,1762
8,12 Август 2021 8:00,0д,12 Август 2021 8:00,4015,4056НН
9,12 Август 2021 8:00,150д,08 Январь 2022 16:00,4015,4056НН
10,22 Июнь 2022 16:00,0д,22 Июнь 2022 16:00,1815,1814
11,02 Июль 2022 16:00,0д,02 Июль 2022 16:00,2067,2059
12,06 Август 2022 16:00,0д,06 Август 2022 16:00,4225,4058
13,05 Сентябрь 2022 16:00,0д,05 Сентябрь 2022 16:00,4060,4054
14,05 Сентябрь 2022 16:00,0д,05 Сентябрь 2022 16:00,4023,4010
15,01 Октябрь 2022 16:00,0д,01 Октябрь 2022 16:00,4060,4017
16,11 Апрель 2023 16:00,0д,11 Апрель 2023 16:00,2552,2604
17,11 Июнь 2023 16:00,0д,11 Июнь 2023 16:00,2552,2551
18,11 Октябрь 2023 16:00,0д,11 Октябрь 2023 16:00,2583,2575
19,30 Август 2023 16:00,0д,30 Август 2023 16:00,5531,6095;5575;6304;6289;5947;5742
20,21 Апрель 2023 16:00,0д,21 Апрель 2023 16:00,42,2606
21,10 Январь 2023 16:00,0д,10 Январь 2023 16:00,4343,4061НН+7д
22,26 Декабрь 2022 8:00,0д,26 Декабрь 2022 8:00,1610ОН-909д;28ОН+244д,8423
23,23 Январь 2023 16:00,0д,23 Январь 2023 16:00,2554,2586
24,27 Июль 2023 16:00,0д,27 Июль 2023 16:00,2554,2594
25,11 Июль 2023 16:00,0д,11 Июль 2023 16:00,2575,2552НН+30д
26,26 Сентябрь 2023 16:00,0д,26 Сентябрь 2023 16:00,7710,9574
27,20 Декабрь 2023 16:00,0д,20 Декабрь 2023 16:00,2554,2407
28,26 Август 2023 16:00,0д,26 Август 2023 16:00,1610ОО,22ОН+244д
29,14 Апрель 2023 16:00,0д,14 Апрель 2023 16:00,7709,8005;7944
30,27 Сентябрь 2023 8:00,0д,27 Сентябрь 2023 8:00,7710,1661
31,12 Май 2024 16:00,0д,12 Май 2024 16:00,2452,2131
32,27 Сентябрь 2024 16:00,0д,27 Сентябрь 2024 16:00,46,3807
33,08 Июль 2024 16:00,0д,08 Июль 2024 16:00,2555,2546
34,25 Август 2024 16:00,0д,25 Август 2024 16:00,4066,4065
35,27 Август 2023 16:00,0д,27 Август 2023 16:00,7703,98ОН+2434д
36,26 Август 2024 16:00,0д,26 Август 2024 16:00,7705,7703
37,26 Ноябрь 2024 16:00,0д,26 Ноябрь 2024 16:00,7714,7705
38,08 Октябрь 2024 16:00,0д,08 Октябрь 2024 16:00,7712,4067
39,04 Июнь 2024 8:00,0д,04 Июнь 2024 8:00,2555,2570
40,25 Сентябрь 2024 16:00,0д,25 Сентябрь 2024 16:00,46,1610НН+1548д
41,27 Сентябрь 2023 8:00,0д,27 Сентябрь 2023 8:00,7709,1661
42,27 Сентябрь 2023 16:00,0д,27 Сентябрь 2023 16:00,7710;10423НН;7707НН,9218;9032;10414;8011;2608;6651;8451;7085;8503;7880;7888;9025;8855;5405;7725;8148;7169;5168;9230;8542;7346;10408;7806;8013;9749;8555;8070;8464;7709;20;9139;9727;5156;9574;9708;5407;8411;3862;5162;10373;10402;8919;10387;10421;7740;8027;10417;4990;9257;38...
43,27 Июль 2024 16:00,0д,27 Июль 2024 16:00,7711,6412;5318;3487;6376;5973;3378;5292;3611;3380;3595;5094;2458;7830;2510;4184;5966;2469;5108;8786;2468;3454;5335;5337;3458;2410;10353;3343;5770;6186;4819;6414;2406;4828;4058;9789;5313;4397;2416;4180;6616;3336;4389;6133;4396;10394;2606;5110;2471;3422;3488;...
44,10 Октябрь 2024 16:00,0д,10 Октябрь 2024 16:00,7712,5421;6422;4716;4198;8829;4083;5340;8853;5247;5765;6762;4103;7201;7196;6386;6740;4208;6897;5602;4214;8267;8276;4946;5766;4394;8282;7256;4252;4120;4360;9443;5132;6831;9516;4253;5955;6791;10085;9765;6754;4415;6755;4285;3470;2372;5255;6068;4963;7218;5257;6...
45,04 Декабрь 2024 16:00,0д,04 Декабрь 2024 16:00,7713,7252;7259;7712
46,25 Февраль 2025 16:00,0д,25 Февраль 2025 16:00,7714,3358;2915;2532;2431;4327;2525;5080;4298;5079;3325;4110;8712;8653;4939;4098;32;3382;3385;3807;40;4367;2437;3390;4303;7713;3476;8688;3389;10087;4126;4217;4972;4216;3329;8715;4297;5105;4221;4068;4291;5737;3360;4978;4311;4149;4290;4320;4338;3309;3301;4104;...
47,27 Апрель 2025 16:00,0д,27 Апрель 2025 16:00,48НН+30д;7715,3979;7714;8161;8327
48,27 Май 2025 16:00,0д,27 Май 2025 16:00,49,47НН+30д
49,26 Декабрь 2025 16:00,0д,26 Декабрь 2025 16:00,7716,7715;48;8806
50,10 Январь 2026 16:00,0д,10 Январь 2026 16:00,7717,7716
52,17 Май 2021 16:00,0д,17 Май 2021 16:00,10497,10495
53,31 Май 2022 16:00,0д,31 Май 2022 16:00,,12791